abbr count
a 999999999
aa 999999999
a1c 999999999
aa 999999999
aag 999999999
aad 999999999
aai 999999999
aapmc 999999999
aat 999999999
aal 999999999
aaox3 999999999
aaox4 999999999
ab 999999999
abc 999999999
abcd 999999999
abcs 999999999
abcds 999999999
abcdes 999999999
abd 999999999
abd 999999999
abe 999999999
abg 999999999
abi 999999999
abla 999999999
abmt 999999999
abn 999999999
abo 999999999
abpa 999999999
abpi 999999999
abt 999999999
abvd 999999999
abx 999999999
ac 999999999
ac 999999999
aca 999999999
acb 999999999
ac&bc 999999999
acc 999999999
accu 999999999
acd 999999999
acd 999999999
acdf 999999999
ace 999999999
ace 999999999
acei 999999999
ach 999999999
ache 999999999
acl 999999999
acls 999999999
acs 999999999
acth 999999999
acp 999999999
acpo 999999999
acu 999999999
ad 999999999
ada 999999999
adc 999999999
adcc 999999999
add 999999999
ade 999999999
adh 999999999
adhd 999999999
adhf 999999999
adhr 999999999
adls 999999999
adlib 999999999
adm 999999999
adn 999999999
adp 999999999
dolent 999999999
adr 999999999
adw 999999999
a/e 999999999
a+e 999999999
aeb 999999999
aed 999999999
aem 999999999
af 999999999
af-afp 999999999
afb 999999999
afi 999999999
afib 999999999
afl 999999999
afntr 999999999
afo 999999999
afp 999999999
afsof 999999999
ag 999999999
aga 999999999
agc 999999999
ages 999999999
agn 999999999
ah 999999999
ah 999999999
ahd 999999999
ahf 999999999
ahg 999999999
ahh 999999999
ahi 999999999
ahr 999999999
aht 999999999
ai 999999999
aicd 999999999
aid 999999999
aids 999999999
aih 999999999
aiha 999999999
aihd 999999999
aipd 999999999
aiirb 999999999
ain 999999999
air 999999999
ais 999999999
ajcc 999999999
ajd 999999999
ak 999999999
aka 999999999
aka 999999999
aki 999999999
ala 999999999
alc 999999999
alcapa 999999999
alf 999999999
alg 999999999
ali 999999999
alk 999999999
phos 999999999
all 999999999
alp 999999999
alps 999999999
als 999999999
alt 999999999
altern 999999999
ama 999999999
amb 999999999
amc 999999999
ami 999999999
aml 999999999
amo 999999999
amp 999999999
amp 999999999
ampa 999999999
ams 999999999
amt 999999999
ana 999999999
anca 999999999
and 999999999
andi 999999999
anf 999999999
anp 999999999
ans 999999999
ant 999999999
anti 999999999
antr 999999999
anug 999999999
a&o 999999999
a/o 999999999
a&ox3 999999999
a&ox4 999999999
aodm 999999999
aom 999999999
aoe 999999999
ap 999999999
ap 999999999
a&p 999999999
a/p 999999999
apache 999999999
apap 999999999
apc 999999999
apd 999999999
apkd 999999999
apeced 999999999
apgar 999999999
aph 999999999
apls 999999999
apmppe 999999999
applic 999999999
appy 999999999
app 999999999
apr 999999999
aps 999999999
apsac 999999999
aptt 999999999
aq 999999999
bull 999999999
calid 999999999
dist 999999999
gel 999999999
ar 999999999
arb 999999999
arbi 999999999
arc 999999999
ard 999999999
ards 999999999
arf 999999999
arg 999999999
arm 999999999
armd 999999999
arms 999999999
arom 999999999
art 999999999
arvc 999999999
arvd 999999999
